age,sex,occupation,crime_history,health,diabetes,id,accepted
34,male,engineer,False,9,True,id_1,True
45,female,doctor,False,8,False,id_2,True
51,male,artist,True,5,False,id_3,False
29,non-binary,teacher,False,10,False,id_4,True
62,male,pilot,True,6,True,id_5,False
40,female,lawyer,False,9,True,id_6,True
38,male,scientist,False,8,False,id_7,True
27,female,artist,False,10,False,id_8,True
33,male,teacher,False,7,True,id_9,False
48,non-binary,doctor,False,9,True,id_10,True
52,female,pilot,True,5,False,id_11,False
42,male,engineer,False,10,True,id_12,True
26,female,scientist,False,8,False,id_13,True
30,non-binary,lawyer,False,9,True,id_14,True
35,male,artist,True,6,True,id_15,False
47,female,teacher,False,9,False,id_16,True
60,male,engineer,False,4,True,id_17,False
28,female,scientist,False,8,False,id_18,True
44,male,doctor,True,5,False,id_19,False
41,non-binary,artist,False,9,True,id_20,True
31,female,pilot,False,8,False,id_21,True
55,male,lawyer,True,6,True,id_22,False
39,non-binary,engineer,False,10,False,id_23,True
53,female,artist,True,5,True,id_24,False
46,male,doctor,False,9,True,id_25,True
25,female,teacher,False,8,False,id_26,True
49,non-binary,lawyer,False,10,True,id_27,True
58,male,scientist,True,6,True,id_28,False
37,female,pilot,False,8,False,id_29,True
50,male,artist,False,9,True,id_30,True
42,non-binary,teacher,False,8,False,id_31,True
34,female,scientist,True,7,True,id_32,False
45,male,lawyer,False,9,True,id_33,True
31,non-binary,engineer,False,10,False,id_34,True
56,female,artist,True,5,True,id_35,False
29,male,doctor,False,8,False,id_36,True
47,non-binary,pilot,False,9,True,id_37,True
52,female,teacher,True,5,False,id_38,False
40,male,artist,False,9,True,id_39,True
38,non-binary,lawyer,False,8,False,id_40,True
33,female,scientist,True,7,True,id_41,False
28,male,doctor,False,9,True,id_42,True
48,non-binary,teacher,False,8,False,id_43,True
41,female,pilot,False,9,True,id_44,True
59,male,lawyer,True,5,False,id_45,False
36,non-binary,artist,False,8,True,id_46,True
50,female,scientist,False,9,True,id_47,True
32,male,teacher,True,6,False,id_48,False
27,female,engineer,False,8,False,id_49,True
43,male,artist,False,9,True,id_50,True